,10Y–2Y Curve,BAA–10Y Spread,Credit Δ 1M,VIX,VIX Δ 1M,2Y Yield Δ 1M,10Y Yield Δ 1M,Risk-off Score
Risk-off / crisis,0.29000000000000004,2.25,0.20999999999999996,25.61,6.5,-0.1800000000000006,-0.14999999999999947,2.0
Policy pivot,1.4500000000000002,2.99,0.1299999999999999,24.28,-0.6899999999999995,-0.23999999999999977,-0.25,1.0
Late-cycle,-0.13999999999999968,1.64,0.0,12.575,-0.6749999999999998,-0.03500000000000014,-0.07000000000000028,2.0
Risk-on / expansion,0.2999999999999998,1.79,-0.1200000000000001,12.64,-0.5199999999999996,0.20999999999999996,0.2100000000000002,1.0
Transition,0.9900000000000002,2.27,-0.020000000000000018,16.49,-0.5899999999999999,0.010000000000000009,0.009999999999999898,1.0
